State,Senator,Party,Born,Age,Occupation(s),Previous electiveoffice(s),Education,Assumed office,Class,Residence[2]
Alabama,Richard Shelby,Republican,"May 6, 1934 (age 88)",88,Lawyer,U.S. HouseAlabama Senate,"University of Alabama (BA, LLB) Birmingham School of Law (JD)","January 3, 1987",2022Class 3,Tuscaloosa
Alabama,Tommy Tuberville,Republican,"September 18, 1954 (age 67)",67,"College football coachPartner, investment management firm",None,Southern Arkansas University (BS),"January 3, 2021",2026Class 2,Auburn[3]
Alaska,Lisa Murkowski,Republican,"May 22, 1957 (age 65)",65,Lawyer,Alaska House of Representatives,Georgetown University (AB) Willamette University (JD),"December 20, 2002[e]",2022Class 3,Girdwood
Alaska,Dan Sullivan,Republican,"November 13, 1964 (age 57)",57,U.S. Marine Corps officerLawyerAssistant Secretary of State for Economic and Business Affairs,Alaska Attorney General,"Harvard University (AB) Georgetown University (MS, JD)","January 3, 2015",2026Class 2,Anchorage
Arizona,Kyrsten Sinema,Democratic,"July 12, 1976 (age 45)",45,Social workerPolitical activistLawyerCollege lecturer,U.S. HouseArizona SenateArizona House of Representatives,"Brigham Young University (BA) Arizona State University, Tempe (MSW, JD, PhD)","January 3, 2019",2024Class 1,Phoenix
Arizona,Mark Kelly,Democratic,"February 21, 1964 (age 58)",58,"U.S. Navy officerNASA astronautFounder, Americans for Responsible Solutions non-profit organization",None,United States Merchant Marine Academy (BS) Naval Postgraduate School (MS),"December 2, 2020[f]",2022Class 3,Tucson
Arkansas,John Boozman,Republican,"December 10, 1950 (age 71)",71,Optometrist,U.S. HouseRogers Public Schools Board,University of Arkansas Southern College of Optometry (OD),"January 3, 2011",2022Class 3,Rogers
Arkansas,Tom Cotton,Republican,"May 13, 1977 (age 45)",45,LawyerUnited States Army officer,U.S. House,"Harvard University (AB, JD)","January 3, 2015",2026Class 2,Dardanelle
California,Dianne Feinstein,Democratic,"June 22, 1933 (age 89)",89,"Non-profit organization fellowMember, California Women's Parole Board",Mayor of San FranciscoSan Francisco Board of Supervisors,Stanford University (BA),"November 10, 1992[g]",2024Class 1,San Francisco
California,Alex Padilla,Democratic,"March 22, 1973 (age 49)",49,Engineer,Secretary of State of CaliforniaCalifornia SenateLos Angeles City Council President,Massachusetts Institute of Technology (BS),"January 20, 2021[h]",2022Class 3,Los Angeles
Colorado,Michael Bennet,Democratic,"November 28, 1964 (age 57)",57,LawyerInvestment company executiveDenver Public Schools SuperintendentChief of staff to the Mayor of Denver,None,Wesleyan University (BA) Yale University (JD),"January 21, 2009[i]",2022Class 3,Denver
Colorado,John Hickenlooper,Democratic,"February 7, 1952 (age 70)",70,GeologistBusinessman,Governor of ColoradoMayor of Denver,"Wesleyan University (BA, MS)","January 3, 2021",2026Class 2,Denver
Connecticut,Richard Blumenthal,Democratic,"February 13, 1946 (age 76)",76,Marine Corps Reserve SergeantSenate stafferLawyerU.S. Attorney,Connecticut Attorney GeneralConnecticut SenateConnecticut House of Representatives,"Harvard University (AB) Trinity College, Cambridge Yale University (JD)","January 3, 2011",2022Class 3,Greenwich
Connecticut,Chris Murphy,Democratic,"August 3, 1973 (age 48)",48,LawyerPolitical campaign manager,U.S. HouseConnecticut SenateConnecticut House of Representatives,"Williams College (BA) Exeter College, Oxford University of Connecticut (JD)","January 3, 2013",2024Class 1,Hartford[6]
Delaware,Tom Carper,Democratic,"January 23, 1947 (age 75)",75,"U.S. Navy officerStaff, Delaware Office of Economic Development",Governor of DelawareU.S. HouseDelaware Treasurer,Ohio State University (BA) University of Delaware (MBA),"January 3, 2001",2024Class 1,Wilmington
Delaware,Chris Coons,Democratic,"September 9, 1963 (age 58)",58,Nonprofit organization executiveLawyer,"New Castle County, Delaware County ExecutiveMember, New Castle County Council","Amherst College (BA) Yale University (MAR, JD)","November 15, 2010[j]",2026Class 2,Wilmington
Florida,Marco Rubio,Republican,"May 28, 1971 (age 51)",51,Lawyer,Florida House SpeakerWest Miami City Commission,University of Florida (BA) University of Miami (JD),"January 3, 2011",2022Class 3,West Miami[7]
Florida,Rick Scott,Republican,"December 1, 1952 (age 69)",69,"Petty officer third class, U.S. NavyLawyerColumbia/HCA CEOVenture capitalist",Governor of Florida,University of Missouri-Kansas City (BS) Southern Methodist University (JD),"January 8, 2019[k]",2024Class 1,Naples
Georgia,Jon Ossoff,Democratic,"February 16, 1987 (age 35)",35,Investigative journalistDocumentary film producerU.S. House staffer,None,Georgetown University (BS) London School of Economics (MSc),"January 20, 2021[l]",2026Class 2,Atlanta
Georgia,Raphael Warnock,Democratic,"July 23, 1969 (age 52)",52,Pastor,None,"Morehouse College (BA) Union Theological Seminary (MDiv, MPhil, PhD)","January 20, 2021[m]",2022Class 3,Atlanta
Hawaii,Brian Schatz,Democratic,"October 20, 1972 (age 49)",49,TeacherNonprofit organization executive,Lieutenant Governor of HawaiiHawaii House of Representatives,Pomona College (BA),"December 26, 2012[n]",2022Class 3,Honolulu
Hawaii,Mazie Hirono,Democratic,"November 3, 1947 (age 74)",74,Lawyer,U.S. HouseLieutenant Governor of HawaiiHawaii House of Representatives,University of Hawaii at Manoa (BA) Georgetown University (JD),"January 3, 2013",2024Class 1,Honolulu
Idaho,Mike Crapo,Republican,"May 20, 1951 (age 71)",71,Lawyer,U.S. HouseIdaho Senate,Brigham Young University (BA) Harvard University (JD),"January 3, 1999",2022Class 3,Idaho Falls
Idaho,Jim Risch,Republican,"May 3, 1943 (age 79)",79,ProfessorRancherNonprofit organization executiveLawyer,Governor of IdahoLieutenant Governor of IdahoIdaho Senate President pro tempore,"University of Wisconsin-Milwaukee University of Idaho (BS, JD)","January 3, 2009",2026Class 2,Boise
Illinois,Dick Durbin,Democratic,"November 21, 1944 (age 77)",77,LawyerProfessor,U.S. House,"Georgetown University (BS, JD)","January 3, 1997",2026Class 2,Springfield
Illinois,Tammy Duckworth,Democratic,"March 12, 1968 (age 54)",54,"Army National Guard officerCoordinator, Center for Nursing Research, Northern Illinois University.[8]U.S. Assistant Secretary of Veterans AffairsIllinois Director of Veterans Affairs",U.S. House,University of Hawaii at Manoa (BA) George Washington University (MA) Northern Illinois University Capella University (PhD),"January 3, 2017",2022Class 3,Hoffman Estates
Indiana,Todd Young,Republican,"August 24, 1972 (age 49)",49,Marine Corps officerProfessorManagement consultantLawyer,U.S. House,"United States Naval Academy (BS) University of Chicago (MBA) University of London (MA) Indiana University, Indianapolis (JD)","January 3, 2017",2022Class 3,Bloomington
Indiana,Mike Braun,Republican,"March 24, 1954 (age 68)",68,Businessman,"Indiana House of RepresentativesMember, Jasper, Indiana School Board",Wabash College (BA) Harvard University (MBA),"January 3, 2019",2024Class 1,Jasper
Iowa,Chuck Grassley,Republican,"September 17, 1933 (age 88)",88,FarmerCollege professor,U.S. HouseIowa House of Representatives,"University of Northern Iowa (BA, MA) University of Iowa","January 3, 1981",2022Class 3,New Hartford
